#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
252#12127##admin.#married#secondary#no#961,0#no#no#unknown#20#jun#2.0#-1,0#0#unknown#no
253#23862#33,0#management#married#tertiary#no#310,0#no#no#cellular#29#aug#2.0#-1,0#0#unknown#no
254#965#46,0#blue-collar#married#primary#no#143,0#yes#no#unknown#7#may#1.0#-1,0#0#unknown#no
255#35910#37,0#management#single#tertiary#no#4543,0#yes#no#cellular#8#may#1.0#340,0#5#failure#no
256#4961#41,0#management#single#tertiary#no#1216,0#yes#no#unknown#21#may#3.0#-1,0#0#unknown#no
257#24267#43,0#technician#married#secondary#no#1865,0#yes#no#cellular#17#nov#1.0#186,0#1#failure#no
258#25679#35,0#self-employed#single#tertiary#no#538,0#yes#yes#cellular#19#nov#1.0#195,0#9#failure#no
259#27824#34,0#unknown#single#secondary#no#859,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#yes
260#32134#36,0#self-employed#married#tertiary#no#11387,0#no#no#cellular#15#apr#1.0#-1,0#0#unknown#no
261#5543#44,0#management#divorced#tertiary#no#5773,0#no#no#unknown#23#may#6.0#-1,0#0#unknown#yes
262#13982##technician#married#secondary#no#305,0#yes#yes#cellular#10#jul#4.0#-1,0#0#unknown#no
263#42510#59,0#management#married#primary#no#8334,0#no#no#cellular#17#dec#4.0#182,0#2#other#no
264#22475#52,0#housemaid#married#primary#no#335,0#no#no#cellular#22#aug#5.0#-1,0#0#unknown#no
265#6079#38,0#entrepreneur#single#tertiary#no#-281,0#yes#no#unknown#27#may#16.0#-1,0#0#unknown#no
266#39069##services#married#secondary#no#1354,0#yes#yes#cellular#18#may#2.0#-1,0#0#unknown#no
267#9216#37,0#unknown#married#primary#no#808,0#no#no#unknown#5#jun#2.0#-1,0#0#unknown#no
268#41575#46,0#management#married#tertiary#no#273,0#yes#no#cellular#15#sep#1.0#105,0#3#failure#yes
269#39853##management#married#tertiary#no#611,0#no#no#cellular#2#jun#1.0#-1,0#0#unknown#yes
270#6126#34,0#services#single#secondary#no#-92,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
271#35294#25,0#blue-collar#single#secondary#no#-392,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
272#20372#39,0#technician#married#secondary#no#3663,0#no#no#cellular#11#aug#3.0#-1,0#0#unknown#no
273#6100#38,0#blue-collar#married#primary#no#27,0#yes#no#unknown#27#may#4.0#-1,0#0#unknown#no
274#39780#46,0#technician#single#secondary#no#5862,0#no#no#cellular#1#jun#1.0#-1,0#0#unknown#yes
275#15131#35,0#management#married#tertiary#no#489,0#yes#no#cellular#17#jul#3.0#-1,0#0#unknown#no
276#14347#32,0#technician#married#secondary#no#396,0#yes#no#cellular#14#jul#2.0#-1,0#0#unknown#no
277#18144#31,0#technician#divorced#secondary#no#-174,0#no#yes#cellular#30#jul#10.0#-1,0#0#unknown#no
278#21527#57,0#entrepreneur#married#secondary#no#1179,0#no#no#cellular#19#aug#2.0#-1,0#0#unknown#no
279#16531#32,0#housemaid#single#tertiary#no#93,0#no#no#cellular#23#jul#2.0#-1,0#0#unknown#no
280#20924#47,0#blue-collar#married#secondary#no#1021,0#no#no#cellular#13#aug#3.0#-1,0#0#unknown#no
281#2242#32,0#admin.#divorced#secondary#yes#-18,0#yes#no#unknown#12#may#3.0#-1,0#0#unknown#no
282#8418#36,0#housemaid#married#primary#no#191,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
283#44149#25,0#blue-collar#single#secondary#no#1857,0#yes#no#cellular#13#jul#2.0#91,0#10#success#yes
284#14749#52,0#admin.#married#secondary#no#82,0#yes#yes#telephone#15#jul#4.0#-1,0#0#unknown#no
285#7683#36,0#blue-collar#married#primary#no#287,0#yes#no#unknown#30#may#3.0#-1,0#0#unknown#no
286#21935##technician#single#tertiary#no#0,0#no#no#cellular#20#aug#4.0#-1,0#0#unknown#no
287#840#36,0#admin.#divorced#secondary#no#0,0#yes#no#unknown#7#may#2.0#-1,0#0#unknown#no
288#15251#29,0#services#married#secondary#no#3220,0#no#no#cellular#17#jul#3.0#-1,0#0#unknown#no
289#1333#34,0#blue-collar#single#secondary#no#177,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
290#38957#31,0#admin.#single#tertiary#no#493,0#yes#no#cellular#18#may#1.0#-1,0#0#unknown#no
291#32869#33,0#technician#married#secondary#no#806,0#no#no#cellular#17#apr#1.0#-1,0#0#unknown#yes
292#14162##blue-collar#divorced#primary#no#0,0#no#no#cellular#11#jul#2.0#-1,0#0#unknown#no
293#17359#30,0#student#single#tertiary#no#146,0#no#no#cellular#28#jul#2.0#-1,0#0#unknown#no
294#14933#40,0#blue-collar#married#secondary#no#-839,0#yes#yes#cellular#16#jul#2.0#-1,0#0#unknown#yes
295#4033#44,0#blue-collar#married#primary#no#75,0#no#no#unknown#16#may#3.0#-1,0#0#unknown#no
296#34004#42,0#management#married#tertiary#no#6060,0#yes#no#cellular#30#apr#1.0#350,0#2#failure#yes
297#27082#33,0#blue-collar#single#secondary#no#5739,0#yes#yes#cellular#21#nov#1.0#-1,0#0#unknown#no
298#6531#30,0#services#married#secondary#no#-932,0#no#no#unknown#27#may#3.0#-1,0#0#unknown#no
299#1461#34,0#management#married#secondary#no#487,0#yes#no#unknown#8#may#2.0#-1,0#0#unknown#no
300#21727#42,0#management#married#tertiary#no#559,0#no#no#cellular#19#aug#1.0#-1,0#0#unknown#no
301#19966#33,0#management#married#tertiary#no#2374,0#yes#yes#cellular#8#aug#2.0#-1,0#0#unknown#no
302#2712#40,0#technician#married#primary#no#819,0#yes#no#unknown#13#may#3.0#-1,0#0#unknown#no
303#14708####tertiary#no###no#cellular#15#jul###0#unknown#no
304#39448#47,0#technician#married#secondary#no#0,0#yes#no#cellular#25#may#1.0#-1,0#0#unknown#no
305#41790#195,0#retired#single#primary#no#1965,0#no#no#telephone#32#oct#3.0#-1,0#0#unknown#yes
306#17611#44,0#blue-collar#divorced#secondary#no#1781,0#yes#no#cellular#29#jul#3.0#-1,0#0#unknown#no
307#7133#40,0#unemployed#single#secondary#no#75,0#yes#no#unknown#29#may#1.0#-1,0#0#unknown#no
308#14367#49,0#services#married#primary#no#784,0#yes#no#cellular#14#jul#4.0#-1,0#0#unknown#no
309#13784#50,0#management#married#tertiary#no#1612,0#yes#no#cellular#10#jul#1.0#-1,0#0#unknown#no
310#4841#37,0#technician#divorced#secondary#no#1176,0#no#yes#unknown#21#may#2.0#-1,0#0#unknown#no
311#45168#48,0#admin.#married#secondary#no#178,0#no#no#cellular#10#nov#1.0#-1,0#0#unknown#no
312#22311#30,0#management#single#tertiary#no#254,0#no#no#cellular#21#aug#1.0#-1,0#0#unknown#no
313#4179#26,0#blue-collar#single#secondary#no#-5,0#no#no#unknown#19#may#1.0#-1,0#0#unknown#no
314#9509#40,0#services#single#secondary#no#2936,0#no#no#unknown#6#jun#2.0#-1,0#0#unknown#no
315#41776#52,0#management#married#primary#no#3343,0#no#no#cellular#13#oct#1.0#-1,0#0#unknown#no
316#13327##blue-collar#married#primary#no#1139,0#no#yes#cellular#8#jul#2.0#-1,0#0#unknown#no
317#29326#35,0#blue-collar#married#primary#no#526,0#yes#no#cellular#2#feb#2.0#-1,0#0#unknown#no
318#40452#52,0#blue-collar#married#primary#no#1524,0#no#no#cellular#3#jul#6.0#-1,0#0#unknown#yes
319#44479#37,0#blue-collar#married#secondary#no#80,0#yes#yes#unknown#9#aug#1.0#461,0#5#failure#no
320#19319#49,0#services#married#secondary#no#153,0#no#no#cellular#6#aug#4.0#-1,0#0#unknown#no
321#17677#54,0#housemaid#married#primary#no#136,0#no#no#cellular#29#jul#2.0#-1,0#0#unknown#no
322#6371#26,0#blue-collar#married#secondary#no#284,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
323#12560#51,0#services#married#secondary#no#-800,0#no#no#unknown#3#jul#1.0#-1,0#0#unknown#no
324#25354#56,0#retired#married#secondary#no#728,0#no#no#cellular#18#nov#2.0#110,0#15#failure#no
325#41975#70,0#unknown#married#tertiary#no#353,0#no#no#cellular#26#oct#2.0#-1,0#0#unknown#no
326#16087#27,0#technician#single#secondary#no#285,0#no#no#cellular#22#jul#1.0#-1,0#0#unknown#no
327#37793#47,0#self-employed#married#tertiary#no#3,0#yes#no#cellular#14#may#15.0#-1,0#0#unknown#no
328#32424#30,0#technician#single#secondary#no#411,0#yes#no#cellular#16#apr#1.0#-1,0#0#unknown#no
329#33695##management#married#primary#no#6900,0#no#no#cellular#21#apr#2.0#-1,0#0#unknown#no
330#41470#78,0#retired#married#primary#no#301,0#no#no#cellular#7#sep#2.0#-1,0#0#unknown#no
331#107#47,0#technician#married#tertiary#no#151,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
332#7200##blue-collar#married#secondary#no#809,0#yes#yes#unknown#29#may#1.0#-1,0#0#unknown#no
333#17919#39,0#technician#married#secondary#no#-1451,0#yes#yes#cellular#30#jul#5.0#-1,0#0#unknown#no
334#30307#28,0#services#married#secondary#no#462,0#yes#yes#cellular#5#feb#1.0#-1,0#0#unknown#no
335#21558#53,0#blue-collar#married#secondary#no#6657,0#yes#no#cellular#19#aug#8.0#-1,0#0#unknown#no
336#23956#49,0#blue-collar#married#secondary#no#0,0#no#no#cellular#29#aug#17.0#-1,0#0#unknown#no
337#14223#53,0#admin.#divorced#unknown#no#257,0#no#no#cellular#11#jul#2.0#-1,0#0#unknown#yes
338#36561#55,0#blue-collar#married#primary#no#2102,0#yes#no#cellular#12#may#4.0#371,0#1#failure#no
339#13113#42,0#blue-collar#married#primary#no#1556,0#no#yes#cellular#8#jul#1.0#-1,0#0#unknown#no
340#18359#48,0#self-employed#married#secondary#no#884,0#yes#no#cellular#31#jul#2.0#-1,0#0#unknown#no
341#4080#52,0#admin.#divorced#secondary#no#-342,0#no#no#unknown#19#may#1.0#-1,0#0#unknown#no
342#35833#43,0#technician#married#secondary#no#0,0#no#yes#cellular#8#may#2.0#172,0#5#failure#no
343#16143##management#married#tertiary#no#409,0#no#no#cellular#22#jul#7.0#-1,0#0#unknown#no
344#1817#43,0#management#married#tertiary#no#291,0#yes#no#unknown#9#may#2.0#-1,0#0#unknown#no
345#1844#27,0#unemployed#married#primary#no#7459,0#yes#no#unknown#9#may#2.0#-1,0#0#unknown#no
346#42821#60,0#management#married#unknown#no#264,0#no#no#telephone#1#feb#1.0#-1,0#0#unknown#yes
347#16750#52,0#blue-collar#married#primary#no#134,0#yes#no#cellular#24#jul#3.0#-1,0#0#unknown#no
348#44976#30,0#management#single#tertiary#no#502,0#no#no#cellular#11#oct#3.0#95,0#6#success#yes
349#40828#33,0#admin.#divorced#secondary#no#661,0#yes#no#cellular#11#aug#1.0#99,0#7#failure#no
350#19743#43,0#management#married#tertiary#no#248,0#no#no#cellular#7#aug#4.0#-1,0#0#unknown#no
351#25855#34,0#self-employed#married#tertiary#no#5498,0#no#no#cellular#19#nov#1.0#-1,0#0#unknown#no
352#3305#57,0#entrepreneur#married#secondary#no#1037,0#yes#yes#unknown#15#may#1.0#-1,0#0#unknown#no
353#7385#35,0#management#single#tertiary#no#870,0#yes#no#unknown#29#may#6.0#-1,0#0#unknown#no
354#33190#48,0#blue-collar#married#primary#no#346,0#yes#no#cellular#20#apr#1.0#-1,0#0#unknown#no
355#21339#40,0#management#married#tertiary#no#2935,0#yes#no#cellular#18#aug#2.0#-1,0#0#unknown#no
356#30750#27,0#admin.#single#secondary#no#6492,0#no#no#cellular#6#feb#6.0#-1,0#0#unknown#no
357#42680##retired#married#primary#no#0,0#no#no#telephone#15#jan#1.0#-1,0#0#unknown#no
358#22313#52,0#retired#married#secondary#no#0,0#no#no#cellular#22#aug#5.0#-1,0#0#unknown#no
359#21103#32,0#management#single#tertiary#no#1512,0#no#yes#cellular#14#aug#4.0#-1,0#0#unknown#no
360#25126#32,0#admin.#married#secondary#no#1785,0#yes#no#cellular#18#nov#2.0#154,0#6#other#no
361#29266#61,0#management#married#tertiary#no#6016,0#no#no#cellular#2#feb#3.0#-1,0#0#unknown#yes
362#12539#33,0#blue-collar#married#secondary#no#285,0#no#yes#unknown#3#jul#1.0#-1,0#0#unknown#no
363#43947#49,0#technician#married#tertiary#no#1071,0#no#no#cellular#17#jun#1.0#-1,0#0#unknown#yes
364#28876#42,0#blue-collar#married#secondary#no#0,0#yes#no#cellular#30#jan#2.0#-1,0#0#unknown#no
365#26127#49,0#technician#married#secondary#no#0,0#yes#no#cellular#19#nov#2.0#-1,0#0#unknown#no
366#27619#30,0#self-employed#married#tertiary#no#1036,0#yes#yes#cellular#21#nov#2.0#-1,0#0#unknown#no
367#41487#43,0#blue-collar#married#secondary#no#2160,0#no#no#cellular#8#sep#1.0#98,0#1#success#yes
368#17490#46,0#admin.#married#secondary#no#-42,0#no#yes#telephone#28#jul#12.0#-1,0#0#unknown#no
369#12911#25,0#technician#single#tertiary#no#226,0#no#no#cellular#7#jul#2.0#-1,0#0#unknown#no
370#4069#58,0#retired#married#primary#no#196,0#yes#no#unknown#19#may#1.0#-1,0#0#unknown#no
371#14441##technician#married#secondary#no#764,0#yes#no#cellular#14#jul#5.0#-1,0#0#unknown#no
372#34001#53,0#admin.#divorced#secondary#no#0,0#yes#yes#cellular#30#apr#2.0#-1,0#0#unknown#no
373#4682#40,0#self-employed#married#secondary#no#311,0#yes#no#unknown#20#may#2.0#-1,0#0#unknown#no
374#31847#27,0#admin.#married#secondary#no#1293,0#yes#no#cellular#8#apr#3.0#-1,0#0#unknown#yes
375#43333#86,0#retired#married#secondary#no#1503,0#no#no#telephone#18#mar#3.0#101,0#1#other#no
376#9034#37,0#self-employed#single#secondary#no#125,0#no#no#unknown#5#jun#1.0#-1,0#0#unknown#no
377#4864#30,0#technician#married#tertiary#no#1126,0#yes#no#unknown#21#may#1.0#-1,0#0#unknown#no
378#2484#60,0#blue-collar#married#primary#no#1262,0#yes#yes#unknown#13#may#1.0#-1,0#0#unknown#yes
379#37199##blue-collar#single#primary#no#215,0#yes#no#cellular#13#may#3.0#-1,0#0#unknown#no
380#26056#59,0#entrepreneur#married#primary#no#0,0#no#no#telephone#19#nov#2.0#153,0#1#failure#no
381#21075#51,0#services#married#secondary#no#276,0#no#no#cellular#14#aug#2.0#-1,0#0#unknown#no
382#16364#42,0#admin.#married#secondary#no#-465,0#no#yes#cellular#23#jul#1.0#-1,0#0#unknown#no
383#12558#33,0#services#single#secondary#no#1038,0#no#yes#unknown#3#jul#1.0#-1,0#0#unknown#no
384#26884#32,0#admin.#married#tertiary#no#1019,0#yes#no#cellular#20#nov#2.0#-1,0#0#unknown#no
385#36694#55,0#admin.#married#secondary#no#859,0#no#no#telephone#12#may#6.0#308,0#1#failure#no
386#4386#48,0#technician#single#secondary#no#479,0#no#no#unknown#20#may#5.0#-1,0#0#unknown#no
387#43197#29,0#technician#single#tertiary#no#2489,0#yes#no#cellular#3#mar#1.0#86,0#5#failure#yes
388#7564#50,0#management#married#tertiary#no#11528,0#yes#no#unknown#30#may#1.0#-1,0#0#unknown#no
389#3859#41,0#services#married#primary#no#124,0#yes#no#unknown#16#may#2.0#-1,0#0#unknown#no
390#38601#36,0#student#single#secondary#no#3551,0#yes#no#telephone#15#may#9.0#-1,0#0#unknown#no
391#23522#42,0#management#married#secondary#no#-105,0#yes#no#cellular#28#aug#2.0#-1,0#0#unknown#no
392#29438#25,0#technician#single#secondary#no#582,0#no#yes#cellular#3#feb#1.0#-1,0#0#unknown#no
393#10287#46,0#services#married#secondary#no#6913,0#no#no#unknown#12#jun#2.0#-1,0#0#unknown#no
394#32324#34,0#management#married#tertiary#no#934,0#yes#no#cellular#16#apr#3.0#-1,0#0#unknown#no
395#21994#30,0#technician#divorced#secondary#no#2403,0#no#no#cellular#20#aug#2.0#-1,0#0#unknown#no
396#43258#44,0#management#married#unknown#no#282,0#no#no#cellular#9#mar#2.0#154,0#3#success#yes
397#40644#27,0#management#single#tertiary#no#6791,0#no#no#cellular#5#aug#2.0#69,0#26#other#yes
398#24704##blue-collar#divorced#secondary#no#644,0#no#yes#cellular#17#nov#4.0#109,0#4#failure#no
399#3388#33,0#technician#divorced#primary#no#20,0#yes#no#unknown#15#may#4.0#-1,0#0#unknown#no
400#1018#39,0#admin.#married#secondary#no#367,0#yes#no#unknown#7#may#1.0#-1,0#0#unknown#no
401#22999#51,0#blue-collar#married#primary#no#6343,0#yes#no#cellular#26#aug#20.0#-1,0#0#unknown#no
402#28263#34,0#technician#married#tertiary#no#16992,0#yes#no#cellular#29#jan#1.0#245,0#1#failure#no
403#18765#31,0#technician#married#tertiary#no#1186,0#no#yes#telephone#31#jul#16.0#-1,0#0#unknown#no
404#39398#59,0#management#divorced#tertiary#yes#0,0#no#no#cellular#22#may#1.0#-1,0#0#unknown#no
405#4839##technician#single#secondary#no#908,0#yes#no#unknown#21#may#1.0#-1,0#0#unknown#no
406#43922#31,0#management#single#tertiary#no#4533,0#no#no#cellular#14#jun#3.0#98,0#3#other#no
407#11872#56,0#housemaid#married#primary#no#954,0#no#no#unknown#20#jun#10.0#-1,0#0#unknown#no
408#3776#47,0#services#married#primary#no#1496,0#yes#no#unknown#16#may#2.0#-1,0#0#unknown#no
409#17290##blue-collar#single#secondary#no#0,0#no#no#telephone#28#jul#2.0#-1,0#0#unknown#no
410#5596#44,0#admin.#married#secondary#no#0,0#yes#no#unknown#23#may#2.0#-1,0#0#unknown#no
411#26054#46,0#management#married#tertiary#no#1388,0#no#no#cellular#19#nov#5.0#-1,0#0#unknown#no
412#10759#38,0#blue-collar#married#primary#no#1262,0#no#no#unknown#17#jun#2.0#-1,0#0#unknown#no
413#32340#35,0#blue-collar#married#primary#no#4319,0#no#no#cellular#16#apr#1.0#-1,0#0#unknown#no
414#6538#47,0#technician#divorced#tertiary#no#-1148,0#yes#yes#unknown#27#may#2.0#-1,0#0#unknown#no
415#6847#26,0#unemployed#married#primary#no#70,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
416#11612#23,0#admin.#married#secondary#no#299,0#yes#no#unknown#19#jun#1.0#-1,0#0#unknown#no
417#34845#44,0#entrepreneur#married#secondary#no#860,0#yes#yes#cellular#6#may#2.0#295,0#5#failure#no
418#19103#55,0#retired#married#primary#no#4424,0#no#no#cellular#5#aug#4.0#-1,0#0#unknown#no
419#2690##blue-collar#married#primary#no#159,0#yes#no#unknown#13#may#2.0#-1,0#0#unknown#no
420#5144#36,0#blue-collar#married#secondary#no#342,0#yes#yes#unknown#21#may#3.0#-1,0#0#unknown#no
421#21623#36,0#technician#married#secondary#no#0,0#no#no#cellular#19#aug#6.0#-1,0#0#unknown#no
422#43857##self-employed#single#tertiary#no#134,0#no#yes#unknown#1#jun#1.0#-1,0#0#unknown#no
423#36347#25,0#self-employed#single#tertiary#no#931,0#yes#no#cellular#11#may#2.0#348,0#4#failure#no
424#24316#50,0#technician#single#secondary#no#246,0#yes#no#cellular#17#nov#1.0#123,0#2#failure#no
425#3242#51,0#entrepreneur#married#tertiary#no#6659,0#yes#yes#unknown#15#may#1.0#-1,0#0#unknown#no
426#20892#56,0#technician#divorced#secondary#no#1561,0#no#no#cellular#13#aug#1.0#-1,0#0#unknown#no
427#15223##management#divorced#tertiary#no#294,0#yes#no#cellular#17#jul#5.0#-1,0#0#unknown#yes
428#30897#27,0#management#married#tertiary#no#1918,0#no#no#cellular#9#feb#1.0#-1,0#0#unknown#no
429#23025##technician#married#secondary#no#827,0#yes#yes#cellular#26#aug#16.0#-1,0#0#unknown#no
430#23059#49,0#management#married#tertiary#no#108,0#no#no#cellular#26#aug#6.0#-1,0#0#unknown#no
431#24429#43,0#entrepreneur#married#tertiary#no#0,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
432#20037#30,0#management#single#tertiary#no#344,0#no#no#cellular#8#aug#3.0#-1,0#0#unknown#no
433#3757#29,0#services#single#secondary#no#-142,0#yes#no#unknown#16#may#1.0#-1,0#0#unknown#no
434#41649#40,0#blue-collar#married#secondary#no#1451,0#no#no#cellular#30#sep#1.0#121,0#1#success#yes
435#737#40,0#blue-collar#married#primary#no#-7,0#yes#no#unknown#6#may#2.0#-1,0#0#unknown#no
436#18541#40,0#housemaid#single#tertiary#no#7441,0#no#no#cellular#31#jul#6.0#-1,0#0#unknown#yes
437#10163#40,0#unemployed#divorced#secondary#no#0,0#no#no#unknown#11#jun#1.0#-1,0#0#unknown#no
438#4462#36,0#technician#married#secondary#no#412,0#yes#yes#unknown#20#may#1.0#-1,0#0#unknown#no
439#21622#60,0#retired#married#primary#no#600,0#no#no#cellular#19#aug#6.0#-1,0#0#unknown#no
440#29107#34,0#management#married#tertiary#no#28,0#yes#no#cellular#2#feb#1.0#-1,0#0#unknown#no
441#41248#70,0#retired#married#primary#no#2346,0#no#no#cellular#24#aug#3.0#194,0#2#success#no
442#16234#49,0#services#married#secondary#no#702,0#no#yes#cellular#23#jul#1.0#-1,0#0#unknown#no
443#38283#33,0#blue-collar#married#primary#no#1138,0#yes#yes#cellular#15#may#2.0#343,0#4#failure#no
444#13471#55,0#blue-collar#married#primary#no#283,0#no#yes#cellular#9#jul#1.0#-1,0#0#unknown#no
445#20846#36,0#management#married#tertiary#no#274,0#no#no#cellular#13#aug#2.0#-1,0#0#unknown#no
446#6390#27,0#housemaid#married#secondary#no#22,0#yes#yes#unknown#27#may#1.0#-1,0#0#unknown#no
447#36157#30,0#management#divorced#tertiary#yes#-1105,0#yes#no#cellular#11#may#1.0#-1,0#0#unknown#no
448#29804##admin.#divorced#secondary#no#496,0#no#no#cellular#4#feb#4.0#272,0#3#failure#no
449#2773#46,0#blue-collar#married#secondary#no#2121,0#yes#no#unknown#14#may#1.0#-1,0#0#unknown#no
450#19289#35,0#management#married#secondary#no#533,0#no#no#cellular#6#aug#12.0#-1,0#0#unknown#no
451#17764#56,0#technician#married#secondary#no#332,0#no#no#telephone#29#jul#3.0#-1,0#0#unknown#no
452#31196#37,0#admin.#married#secondary#no#3427,0#no#no#cellular#27#feb#1.0#-1,0#0#unknown#no
453#29510#50,0#entrepreneur#married#tertiary#no#2442,0#no#no#cellular#3#feb#1.0#-1,0#0#unknown#no
454#18232#44,0#services#married#secondary#no#742,0#no#no#telephone#30#jul#5.0#-1,0#0#unknown#no
455#13737##services#single#secondary#no#-56,0#no#yes#cellular#10#jul#5.0#-1,0#0#unknown#no
456#11418##unemployed#married#primary#no#2636,0#no#no#unknown#19#jun#1.0#-1,0#0#unknown#no
457#30101##entrepreneur#single#primary#no#1770,0#no#yes#cellular#4#feb#2.0#188,0#6#failure#no
458#40027#34,0#blue-collar#married#secondary#no#398,0#yes#no#cellular#3#jun#2.0#-1,0#0#unknown#no
459#37849#39,0#blue-collar#single#primary#no#-100,0#yes#no#cellular#14#may#1.0#358,0#2#failure#no
460#17583#41,0#management#single#tertiary#no#3947,0#no#no#telephone#29#jul#2.0#-1,0#0#unknown#no
461#3538#54,0#blue-collar#married#primary#no#-219,0#yes#no#unknown#15#may#4.0#-1,0#0#unknown#no
462#37072#38,0#services#single#primary#no#-87,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
463#3262#42,0#blue-collar#single#secondary#no#1306,0#yes#no#unknown#15#may#1.0#-1,0#0#unknown#no
464#5136#33,0#admin.#single#secondary#no#1779,0#yes#no#unknown#21#may#2.0#-1,0#0#unknown#no
465#28637#32,0#technician#married#secondary#no#0,0#no#no#cellular#29#jan#3.0#-1,0#0#unknown#no
466#14344#32,0#admin.#married#secondary#no#-169,0#no#no#telephone#14#jul#3.0#-1,0#0#unknown#no
467#8446##entrepreneur#married#secondary#no#3862,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
468#17622#42,0#admin.#single#secondary#no#2534,0#no#no#cellular#29#jul#2.0#-1,0#0#unknown#no
469#38569#33,0#admin.#married#secondary#no#1293,0#yes#no#cellular#15#may#9.0#373,0#2#failure#no
470#15566#41,0#admin.#single#secondary#no#4464,0#yes#no#telephone#21#jul#2.0#-1,0#0#unknown#no
471#65#49,0#blue-collar#married#unknown#no#154,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
472#40770#30,0#management#married#tertiary#no#805,0#no#no#cellular#10#aug#3.0#194,0#1#failure#no
473#42579#23,0#services#single#secondary#no#870,0#no#no#cellular#29#dec#1.0#176,0#4#success#yes
