ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
1011§35,0§blue-collar§married§primary§no§624,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
1019§52,0§entrepreneur§divorced§primary§no§278,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1022§48,0§technician§married§secondary§no§-500,0§yes§no§unknown§7§may§5,0§-1,0§0§unknown§
1024§43,0§technician§divorced§tertiary§no§1026,0§yes§yes§unknown§7§may§5,0§-1,0§0§unknown§
1027§40,0§technician§married§primary§no§164,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
1031§37,0§management§married§tertiary§no§308,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1033§37,0§technician§married§tertiary§no§16,0§yes§yes§unknown§7§may§3,0§-1,0§0§unknown§
1035§41,0§blue-collar§single§secondary§no§277,0§yes§no§unknown§7§may§4,0§-1,0§0§unknown§
1038§60,0§blue-collar§divorced§secondary§no§1310,0§no§no§unknown§7§may§2,0§-1,0§0§unknown§
1039§§technician§married§secondary§no§186,0§no§no§unknown§7§may§2,0§-1,0§0§unknown§
1040§50,0§services§single§primary§no§148,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1041§56,0§blue-collar§married§primary§no§862,0§yes§yes§unknown§7§may§2,0§-1,0§0§unknown§
1043§29,0§blue-collar§married§primary§no§190,0§no§no§unknown§7§may§1,0§-1,0§0§unknown§
1049§51,0§management§married§primary§no§98,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1050§52,0§technician§single§secondary§no§-181,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1054§§blue-collar§married§secondary§no§1557,0§yes§no§unknown§7§may§6,0§-1,0§0§unknown§
1055§36,0§blue-collar§married§primary§no§-20,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1056§46,0§blue-collar§married§primary§no§323,0§yes§no§unknown§7§may§6,0§-1,0§0§unknown§
1064§43,0§blue-collar§married§secondary§no§667,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1070§39,0§management§single§unknown§no§2887,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1074§39,0§blue-collar§single§secondary§no§29,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1076§49,0§services§single§primary§no§114,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1077§39,0§housemaid§married§secondary§no§365,0§yes§no§unknown§7§may§4,0§-1,0§0§unknown§
1087§44,0§blue-collar§single§unknown§no§2167,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
1090§§blue-collar§married§primary§no§321,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1094§46,0§blue-collar§single§secondary§no§76,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1096§43,0§entrepreneur§married§primary§no§526,0§yes§no§unknown§7§may§4,0§-1,0§0§unknown§
1097§59,0§housemaid§divorced§unknown§no§873,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1102§38,0§blue-collar§married§primary§no§1807,0§no§no§unknown§7§may§3,0§-1,0§0§unknown§
1103§44,0§blue-collar§single§secondary§no§-212,0§yes§yes§unknown§7§may§4,0§-1,0§0§unknown§
1106§43,0§admin.§married§tertiary§no§1924,0§yes§no§unknown§7§may§7,0§-1,0§0§unknown§
1111§40,0§admin.§single§secondary§no§-227,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1113§§services§divorced§secondary§no§98,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
1114§§blue-collar§married§secondary§no§1230,0§yes§yes§unknown§7§may§3,0§-1,0§0§unknown§
1126§56,0§services§married§primary§no§219,0§yes§no§unknown§7§may§4,0§-1,0§0§unknown§
1128§42,0§blue-collar§married§primary§no§223,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1129§36,0§blue-collar§married§primary§no§-79,0§no§no§unknown§7§may§3,0§-1,0§0§unknown§
1133§38,0§blue-collar§single§primary§no§20,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1134§§blue-collar§married§secondary§no§1045,0§yes§yes§unknown§7§may§1,0§-1,0§0§unknown§
1135§44,0§blue-collar§married§secondary§no§1,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1136§§management§married§tertiary§no§3,0§yes§no§unknown§7§may§5,0§-1,0§0§unknown§
1139§37,0§blue-collar§married§secondary§no§374,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1140§56,0§management§married§primary§no§93,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1142§34,0§services§divorced§secondary§no§78,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
1146§35,0§services§married§secondary§no§630,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1147§44,0§admin.§single§secondary§no§-30,0§yes§no§unknown§7§may§5,0§-1,0§0§unknown§
1156§38,0§unemployed§married§primary§no§447,0§yes§no§unknown§7§may§4,0§-1,0§0§unknown§
1175§36,0§technician§married§secondary§no§83,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1184§38,0§blue-collar§married§primary§no§54,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1185§42,0§entrepreneur§married§primary§no§198,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1189§36,0§blue-collar§married§secondary§no§-206,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1192§41,0§entrepreneur§divorced§tertiary§no§-413,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1197§37,0§technician§married§secondary§no§316,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1198§51,0§management§married§primary§yes§57,0§yes§yes§unknown§8§may§1,0§-1,0§0§unknown§
1209§34,0§management§married§tertiary§no§133,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1211§55,0§blue-collar§single§tertiary§no§325,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1220§48,0§admin.§single§secondary§no§96,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1224§26,0§blue-collar§married§secondary§yes§20,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1231§48,0§technician§divorced§secondary§no§177,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1233§42,0§technician§married§secondary§no§0,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1234§61,0§blue-collar§married§primary§no§734,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1238§55,0§technician§married§unknown§no§84,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1245§49,0§management§married§secondary§no§104,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1246§26,0§blue-collar§single§primary§no§318,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1247§35,0§technician§single§secondary§no§2151,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1250§41,0§management§married§tertiary§no§1773,0§no§no§unknown§8§may§1,0§-1,0§0§unknown§
1259§49,0§admin.§married§primary§no§458,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1264§47,0§management§married§tertiary§no§643,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1280§35,0§management§single§tertiary§no§797,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1281§46,0§blue-collar§single§secondary§no§152,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
1282§39,0§blue-collar§married§primary§no§481,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1287§32,0§blue-collar§married§secondary§no§715,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1290§35,0§technician§married§secondary§no§319,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1296§46,0§services§married§secondary§no§2019,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1297§30,0§blue-collar§married§primary§no§3,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1298§46,0§services§married§secondary§no§397,0§no§no§unknown§8§may§1,0§-1,0§0§unknown§
1299§38,0§technician§married§tertiary§no§1161,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1300§24,0§technician§single§tertiary§no§777,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1302§§technician§married§primary§no§-58,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1306§40,0§technician§married§secondary§no§697,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1313§31,0§management§single§tertiary§no§1315,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1317§44,0§blue-collar§single§secondary§no§36,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1318§51,0§blue-collar§married§unknown§no§125,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1321§31,0§services§married§secondary§no§432,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1324§57,0§management§married§tertiary§no§2261,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1325§33,0§services§married§secondary§no§804,0§yes§yes§unknown§8§may§1,0§-1,0§0§unknown§
1329§32,0§admin.§married§secondary§no§514,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1331§31,0§technician§single§tertiary§no§491,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1341§49,0§admin.§divorced§secondary§no§168,0§yes§yes§unknown§8§may§1,0§-1,0§0§unknown§
1343§33,0§admin.§divorced§secondary§no§140,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1346§42,0§admin.§married§secondary§no§323,0§yes§yes§unknown§8§may§2,0§-1,0§0§unknown§
1347§28,0§services§married§secondary§no§6,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1349§34,0§services§married§secondary§no§142,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
1350§58,0§blue-collar§married§primary§no§5,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1351§46,0§blue-collar§married§primary§no§174,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1353§42,0§blue-collar§married§secondary§no§30,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1355§42,0§blue-collar§divorced§secondary§no§47,0§yes§yes§unknown§8§may§1,0§-1,0§0§unknown§
1358§43,0§blue-collar§married§primary§no§-77,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1359§28,0§blue-collar§married§unknown§no§486,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1362§41,0§services§married§secondary§no§205,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1363§39,0§admin.§single§secondary§no§762,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1371§28,0§admin.§divorced§secondary§no§785,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1374§48,0§blue-collar§married§primary§no§448,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1379§49,0§admin.§single§secondary§no§275,0§no§no§unknown§8§may§1,0§-1,0§0§unknown§
1380§60,0§retired§married§primary§no§414,0§no§no§unknown§8§may§1,0§-1,0§0§unknown§
1382§36,0§admin.§divorced§secondary§no§496,0§no§no§unknown§8§may§3,0§-1,0§0§unknown§
1392§30,0§services§married§secondary§no§1801,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1393§40,0§blue-collar§married§primary§no§640,0§yes§yes§unknown§8§may§2,0§-1,0§0§unknown§
1394§28,0§blue-collar§married§primary§no§113,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1395§39,0§blue-collar§married§secondary§no§1042,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1398§30,0§blue-collar§married§primary§no§70,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1401§47,0§management§married§primary§no§1222,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1405§§blue-collar§married§primary§no§4,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1410§31,0§blue-collar§married§primary§no§406,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1414§30,0§technician§single§tertiary§no§178,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1422§34,0§management§married§tertiary§no§1601,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1425§39,0§management§single§tertiary§no§375,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1426§46,0§blue-collar§married§primary§no§587,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1429§§management§single§tertiary§no§-275,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1438§35,0§blue-collar§single§secondary§no§907,0§yes§yes§unknown§8§may§1,0§-1,0§0§unknown§
1439§39,0§unemployed§divorced§secondary§no§6322,0§no§no§unknown§8§may§1,0§-1,0§0§unknown§
1440§46,0§blue-collar§married§secondary§no§125,0§yes§yes§unknown§8§may§2,0§-1,0§0§unknown§
1442§§technician§single§secondary§no§54,0§yes§yes§unknown§8§may§6,0§-1,0§0§unknown§
1444§48,0§admin.§divorced§secondary§no§267,0§no§no§unknown§8§may§1,0§-1,0§0§unknown§
1449§29,0§management§divorced§tertiary§no§607,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1451§32,0§services§single§secondary§no§459,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1453§§blue-collar§divorced§primary§no§134,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1454§43,0§blue-collar§married§primary§no§34,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1458§45,0§services§married§secondary§no§22,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1459§35,0§blue-collar§single§primary§no§398,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1466§37,0§blue-collar§married§secondary§no§121,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1472§51,0§management§married§tertiary§no§751,0§no§no§unknown§8§may§5,0§-1,0§0§unknown§
1477§41,0§management§divorced§tertiary§no§292,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1478§§technician§married§unknown§no§0,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1479§32,0§admin.§single§secondary§no§184,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
1485§32,0§unemployed§single§tertiary§no§336,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1486§42,0§technician§married§secondary§no§0,0§no§yes§unknown§8§may§3,0§-1,0§0§unknown§
1491§38,0§services§divorced§secondary§no§5873,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1498§47,0§blue-collar§married§primary§no§205,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1503§35,0§self-employed§single§tertiary§no§538,0§yes§yes§unknown§8§may§9,0§-1,0§0§unknown§
1506§36,0§blue-collar§married§unknown§no§70,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
1507§41,0§management§married§tertiary§no§393,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1509§40,0§blue-collar§single§secondary§no§879,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1512§27,0§student§single§secondary§no§0,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1516§33,0§blue-collar§single§secondary§no§56,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1518§27,0§blue-collar§married§secondary§no§106,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1526§46,0§blue-collar§married§primary§no§0,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1527§33,0§admin.§married§secondary§no§61,0§yes§yes§unknown§8§may§2,0§-1,0§0§unknown§
1534§50,0§technician§single§tertiary§no§0,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1536§48,0§blue-collar§married§primary§no§2642,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1537§36,0§technician§married§secondary§no§195,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1539§34,0§management§married§tertiary§no§336,0§yes§yes§unknown§8§may§2,0§-1,0§0§unknown§
1549§37,0§blue-collar§married§primary§no§496,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1550§50,0§services§single§secondary§no§72,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1553§§technician§divorced§tertiary§no§574,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1556§43,0§management§divorced§tertiary§no§0,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1558§36,0§services§married§secondary§no§42,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
1560§32,0§blue-collar§divorced§primary§no§88,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1561§44,0§management§divorced§tertiary§no§3932,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1562§43,0§technician§divorced§secondary§no§177,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1565§53,0§management§married§tertiary§no§2124,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1568§32,0§blue-collar§married§secondary§no§20,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1571§30,0§management§single§tertiary§no§528,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
1575§44,0§blue-collar§married§secondary§no§138,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1578§40,0§admin.§married§secondary§no§523,0§yes§yes§unknown§8§may§3,0§-1,0§0§unknown§
1582§§blue-collar§married§primary§no§298,0§yes§no§unknown§8§may§2,0§-1,0§0§unknown§
1586§52,0§management§divorced§secondary§no§123,0§no§no§unknown§8§may§2,0§-1,0§0§unknown§
1587§26,0§management§single§tertiary§no§498,0§yes§no§unknown§8§may§3,0§-1,0§0§unknown§
1590§35,0§management§married§tertiary§yes§89,0§no§yes§unknown§8§may§3,0§-1,0§0§unknown§
1591§47,0§technician§divorced§secondary§no§699,0§yes§no§unknown§8§may§1,0§-1,0§0§unknown§
1595§35,0§management§married§tertiary§no§820,0§yes§no§unknown§8§may§4,0§-1,0§0§unknown§
